# DFSCX (DFA US Micro Cap) monthly total returns (%).
# User-supplied 2026-08-01, from a Portfolio Visualizer backtest
# (1991-01 .. 2026-07, 427 months, $10,000 initial), supplied as two pages.
#
# PV summary stats (identical on both pages, same backtest):
#   mean 1.15%  stdev 5.80%  min -23.25%  max 23.58%  %positive 62.53%
#   skew -0.328  excess kurtosis 1.461
#   pctiles: 1st -13.04  5th -8.08  25th -2.38  50th 1.61  75th 4.56
#            95th 9.75  99th 13.77
#
# NOTE ON COVERAGE: the fund's own inception is 1981-12, but this backtest
# starts 1991-01, so it does NOT reach the 1980-82 Volcker window. It extends
# US small/micro history 26 months earlier than DFSVX (1993-03) and covers the
# 1990-91 recession tail.
#
# This is MICRO CAP, not small VALUE -- a size sleeve, not a size+value one.
# Do not treat it as interchangeable with DFSVX.
#
# Rows newest-first as supplied; the loader sorts. `balance` is PV's own
# compounded path -- redundant, not an independent source.
date,monthly_return,balance
2026-07,-1.81,645301.85
2026-06,7.91,657202.22
2026-05,1.53,609019.91
2026-04,9.69,599827.79
2026-03,-3.39,546847.74
2026-02,1.95,566046.05
2026-01,5.82,555199.06
2025-12,0.44,524660.61
2025-11,2.92,522376.08
2025-10,-1.01,507565.16
2025-09,0.69,512724.02
2025-08,7.65,509226.88
2025-07,1.10,473043.23
2025-06,4.60,467897.84
2025-05,6.29,447330.24
2025-04,-3.27,420851.20
2025-03,-6.11,435083.69
2025-02,-5.50,463383.16
2025-01,2.21,490358.68
2024-12,-8.09,479767.06
2024-11,11.74,521977.01
2024-10,-2.01,467153.74
2024-09,0.61,476731.30
2024-08,-1.78,473858.74
2024-07,10.44,482423.45
2024-06,-1.85,436799.93
2024-05,5.45,445031.85
2024-04,-5.72,422041.27
2024-03,3.42,447659.34
2024-02,4.10,432872.76
2024-01,-3.42,415833.11
2023-12,11.95,430578.96
2023-11,7.95,384600.69
2023-10,-5.30,356278.63
2023-09,-4.97,376232.80
2023-08,-3.90,395917.29
2023-07,5.77,411965.82
2023-06,8.43,389497.88
2023-05,-1.23,359228.67
2023-04,-3.11,363709.03
2023-03,-5.00,375389.96
2023-02,-0.48,395161.87
2023-01,8.69,397077.03
2022-12,-5.68,365317.25
2022-11,3.56,387309.59
2022-10,12.57,374001.55
2022-09,-9.00,332241.87
2022-08,-3.08,365118.77
2022-07,9.77,376705.00
2022-06,-8.06,343165.91
2022-05,1.74,373258.81
2022-04,-7.87,366873.12
2022-03,0.39,398193.41
2022-02,1.63,396660.33
2022-01,-6.48,390282.18
2021-12,4.65,417313.40
2021-11,-1.83,398781.89
2021-10,4.42,406204.93
2021-09,-1.53,389021.98
