# DFSVX (DFA US Small Cap Value) monthly total returns (%).
# User-supplied 2026-08-01, from a Portfolio Visualizer backtest
# (1993-03 .. 2026-07, $10,000 initial), supplied as two paginated pages.
#
# PV summary stats accompanying the series (identical on both pages, same
# backtest), used as the validation target in validate_dfsvx_series.py:
#   mean 1.08%  stdev 5.80%  min -26.60%  max 19.66%  %positive 61.35%
#   skew -0.537  excess kurtosis 2.058
#   pctiles: 1st -14.56  5th -8.38  25th -2.09  50th 1.36  75th 4.61
#            95th 10.00  99th 14.87
#
# WHY THIS SERIES MATTERS (open-questions Q1): the panel's US Small Value
# sleeve is VISVX, which starts 1998-06 -- AFTER the dot-com bubble began
# inflating. DFSVX starts 1993-03 and covers the full run-up and unwind, which
# is the single episode the small-value case rests on.
#
# Rows are newest-first as supplied; the loader sorts. The `balance` column is
# PV's own compounded $10,000 path -- a redundant encoding that catches
# transcription errors, NOT an independent source. Early balances (1993) are
# rounded to the dollar by PV, so a reconstruction drifts slightly there.
date,monthly_return,balance
2026-07,2.29,377767.33
2026-06,2.96,369319.83
2026-05,0.22,358692.04
2026-04,7.60,357905.44
2026-03,-3.35,332613.05
2026-02,3.39,344124.37
2026-01,6.91,332850.50
2025-12,1.11,311327.65
2025-11,3.97,307896.70
2025-10,-1.67,296130.71
2025-09,-1.05,301173.27
2025-08,8.29,304372.94
2025-07,1.36,281074.52
2025-06,4.73,277310.93
2025-05,6.05,264783.49
2025-04,-5.32,249683.58
2025-03,-6.22,263713.42
2025-02,-5.27,281191.27
2025-01,2.93,296826.22
2024-12,-7.90,288384.53
2024-11,10.35,313105.30
2024-10,-1.48,283725.76
2024-09,0.03,287990.53
2024-08,-2.36,287897.35
2024-07,10.19,294860.23
2024-06,-2.42,267598.79
2024-05,5.42,274241.13
2024-04,-5.85,260138.31
2024-03,5.29,276297.79
2024-02,2.59,262418.95
2024-01,-2.80,255801.37
2023-12,11.26,263180.26
2023-11,8.45,236537.46
2023-10,-4.85,218109.67
2023-09,-4.25,229234.81
2023-08,-3.06,239401.55
2023-07,6.83,246957.41
2023-06,10.38,231163.96
2023-05,-3.54,209432.55
2023-04,-1.84,217124.38
2023-03,-7.13,221196.52
2023-02,-0.94,238168.37
2023-01,8.63,240421.62
2022-12,-5.87,221325.34
2022-11,5.12,235122.20
2022-10,14.66,223674.90
2022-09,-9.42,195083.28
2022-08,-2.17,215376.45
2022-07,9.93,220147.28
2022-06,-10.80,200268.83
2022-05,3.91,224507.40
2022-04,-5.74,216051.37
2022-03,0.85,229211.06
2022-02,2.04,227280.40
2022-01,-2.90,222742.18
2021-12,5.59,229391.20
2021-11,-2.31,217250.72
2021-10,3.83,222386.78
2021-09,-0.83,214178.68
2021-08,2.20,215973.74
2021-07,-2.08,211331.72
2021-06,-2.79,215830.17
2021-05,4.61,222023.39
2021-04,2.28,212237.37
2021-03,6.80,207511.44
2021-02,12.16,194293.27
2021-01,5.61,173234.51
2020-12,8.25,164039.17
2020-11,17.89,151533.50
2020-10,3.95,128542.54
2020-09,-5.13,123652.84
2020-08,5.58,130343.92
2020-07,3.21,123459.06
2020-06,2.65,119618.53
2020-05,2.85,116531.60
2020-04,15.81,113307.59
2020-03,-26.60,97841.68
