# DFUS (Dimensional US Equity Market ETF) monthly total returns (%).
# User-supplied 2026-08-01, from a Portfolio Visualizer backtest of DFUS
# (62 months, 2021-06 .. 2026-07, $10,000 initial).
#
# PV summary stats accompanying the series, used as the validation target in
# validate_dfus_series.py:
#   mean 1.11%  stdev 4.55%  min -9.12%  max 10.38%  %positive 62.30%
#   skew -0.244  excess kurtosis -0.406
#   pctiles: 1st -9.07  5th -5.92  25th -1.95  50th 1.75  75th 4.08
#            95th 8.45  99th 9.73
#
# The `balance` column is PV's own compounded $10,000 path. It is a second,
# redundant encoding of the same returns, so it catches transcription errors
# in the return column. It is NOT an independent source.
#
# CAVEAT ON USE: 62 months. See docs/superpowers/specs/
# 2026-08-01-open-research-questions.md Q2 -- this series is far too short to
# resolve the ~60bps implementation-edge claim it is usually cited for. It is
# stored for the tracking-error measurement, which IS resolvable at this
# length, not for a return comparison.
date,monthly_return,balance
2021-06,1.32,10131.83
2021-07,2.15,10350.12
2021-08,2.89,10648.97
2021-09,-4.52,10167.97
2021-10,6.72,10851.44
2021-11,-0.91,10752.26
2021-12,4.08,11190.48
2022-01,-5.61,10562.78
2022-02,-2.64,10283.56
2022-03,3.41,10634.67
2022-04,-9.12,9664.92
2022-05,0.20,9684.45
2022-06,-8.37,8874.10
2022-07,9.30,9699.45
2022-08,-3.82,9329.24
2022-09,-9.04,8485.91
2022-10,8.45,9202.91
2022-11,5.15,9677.26
2022-12,-5.57,9138.01
2023-01,6.34,9717.79
2023-02,-2.21,9502.57
2023-03,3.00,9787.42
2023-04,1.19,9904.18
2023-05,0.51,9954.84
2023-06,6.93,10644.83
2023-07,3.55,11022.79
2023-08,-1.76,10828.29
2023-09,-4.66,10323.30
2023-10,-2.60,10054.96
2023-11,9.29,10988.60
2023-12,5.07,11546.15
2024-01,1.27,11693.18
2024-02,5.43,12328.07
2024-03,3.18,12720.09
2024-04,-4.05,12204.41
2024-05,4.66,12773.67
2024-06,3.13,13173.38
2024-07,1.75,13403.94
2024-08,2.04,13677.04
2024-09,2.06,13958.69
2024-10,-0.80,13846.48
2024-11,6.73,14777.81
2024-12,-2.85,14356.43
2025-01,3.07,14797.82
2025-02,-1.95,14509.57
2025-03,-5.92,13650.05
2025-04,-0.86,13532.69
2025-05,6.60,14426.45
2025-06,5.14,15167.29
2025-07,2.28,15513.54
2025-08,2.38,15882.43
2025-09,3.48,16434.48
2025-10,2.33,16817.89
2025-11,0.18,16847.38
2025-12,0.09,16862.89
2026-01,1.52,17119.80
2026-02,-0.66,17006.12
2026-03,-4.98,16159.94
2026-04,10.38,17837.24
2026-05,5.30,18783.00
2026-06,-0.34,18719.85
2026-07,-0.43,18639.89
