# Gold monthly total returns (%), user-supplied 2026-08-01.
# Source: monthly returns matrix (third-party site), cross-checked against a
# Portfolio Visualizer "100% Gold" backtest (Jan 1972 - Jun 2026: CAGR 8.47%,
# stdev 19.72%, MaxDD -61.78%, Sharpe 0.28, Sortino 0.47).
# NOT audited Yahoo data -- validated by validate_gold_series.py before use.
# Gold was pegged until Aug 1971, so pre-1972 months are a managed price, not a
# market, and the study window starts 1972-01.
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2026,12.31,8.75,-11.02,-1.51,-1.51,-11.66,0.89,,,,,
2025,6.82,1.85,9.48,5.46,-0.02,0.44,-0.58,5.02,11.80,3.60,5.40,2.21
2024,-1.39,0.49,8.70,3.03,1.65,-0.10,5.40,2.13,5.12,4.34,-3.09,-1.38
2023,5.79,-5.34,7.96,0.89,-1.31,-2.19,2.32,-1.24,-4.73,7.41,2.57,1.31
2022,-1.65,6.15,1.31,-2.04,-3.23,-1.53,-2.56,-2.91,-2.86,-1.75,8.53,2.96
2021,-3.19,-6.23,-1.11,3.60,7.71,-7.12,2.56,-0.04,-3.19,1.51,-0.66,3.34
2020,4.53,-0.61,-0.19,7.30,2.62,2.77,10.83,-0.29,-4.14,-0.48,-5.38,7.05
2019,2.92,-0.58,-1.56,-0.63,1.79,8.04,0.04,7.95,-3.36,2.60,-3.18,3.69
2018,3.27,-2.05,0.67,-0.92,-1.16,-3.58,-2.21,-2.10,-0.63,2.16,0.37,4.97
2017,5.45,3.22,-0.39,1.76,-0.09,-2.12,2.35,4.24,-3.34,-0.71,0.39,2.14
2016,5.44,10.97,-0.81,5.14,-6.11,9.01,2.02,-3.22,0.72,-2.91,-8.33,-1.88
2015,8.72,-5.88,-2.12,-0.13,0.59,-1.48,-6.59,3.74,-1.77,2.32,-6.72,-0.42
2014,3.45,6.30,-3.11,0.53,-3.02,6.35,-3.60,0.41,-6.14,-3.02,-0.46,1.35
2013,-0.47,-5.06,0.99,-7.54,-6.17,-11.03,7.47,5.24,-4.75,-0.31,-5.48,-3.76
2012,11.43,-2.94,-1.28,-0.12,-6.31,2.39,0.87,4.98,4.70,-2.91,-0.43,-2.40
2011,-6.35,6.03,1.63,8.98,-1.76,-2.40,8.45,12.32,-11.03,5.91,1.70,-10.63
2010,-1.23,3.31,-0.40,5.92,3.08,2.39,-5.06,5.74,4.81,3.72,2.15,2.47
2009,5.57,1.48,-2.50,-3.30,10.27,-5.19,2.42,0.09,5.87,3.76,12.82,-7.17
2008,10.88,5.26,-5.97,-4.13,0.96,4.55,-1.41,-9.26,4.15,-16.11,12.61,7.77
2007,2.60,2.58,-1.08,2.09,-2.28,-1.91,2.40,1.15,10.54,6.99,-1.62,6.68
2006,9.96,-1.08,3.66,12.06,-1.29,-4.64,3.18,-1.34,-4.50,1.33,6.92,-1.80
2005,-3.58,3.11,-1.57,1.27,-3.89,4.33,-1.40,1.39,7.64,-0.61,5.85,5.09
2004,-3.96,-0.98,7.04,-8.31,1.22,0.65,-1.11,4.05,2.06,2.38,5.61,-2.89
2003,5.85,-5.46,-3.63,0.57,7.32,-4.26,2.53,5.88,3.30,-0.45,3.13,4.49
2002,2.10,5.15,1.53,2.26,5.97,-2.48,-4.35,2.68,3.48,-2.10,0.68,8.82
2001,-3.63,0.83,-3.37,2.11,1.65,1.16,-1.74,2.67,7.36,-4.90,-1.17,0.36
2000,-2.39,3.65,-5.76,-0.61,-1.02,5.84,-3.96,0.09,-1.21,-3.34,1.74,1.99
1999,-0.83,0.58,-2.65,2.56,-6.28,-2.83,-2.07,-0.31,17.35,0.03,-2.59,-0.38
1998,5.05,-2.44,1.21,3.22,-5.50,0.92,-2.51,-5.35,7.48,-0.53,0.82,-2.34
1997,-6.43,3.79,-2.91,-2.30,1.60,-3.20,-2.45,-0.31,2.07,-6.23,-4.69,-2.22
1996,4.79,-1.21,-1.07,-1.27,-0.19,-2.19,0.86,0.30,-1.93,0.13,-2.16,-0.55
1995,-2.18,0.40,4.14,-0.57,-1.40,0.72,-0.96,-0.26,0.43,-0.35,1.35,-0.21
