candidate,tsmom,note,full_CAGR,full_sharpe,full_maxdd,dot-com 2000-03..2002-09_cum,dot-com 2000-03..2002-09_maxdd,2022 stocks+bonds rout_cum,2022 stocks+bonds rout_maxdd,2022 full year_cum,2022 full year_maxdd,GFC 2008-09..2009-02_cum,GFC 2008-09..2009-02_maxdd,COVID 2020-02..2020-03_cum,COVID 2020-02..2020-03_maxdd,taper 2013_cum,taper 2013_maxdd,season_GrowthUp_InfUp,season_GrowthUp_InfDown,season_GrowthDown_InfDown,season_GrowthDown_InfUp
AW-classic (vintage),False,30/55/15 (commodities remapped to gold; no commodities in 2000),0.06614216467309952,0.8125962586375121,-0.20294282021222043,-0.02236085006074162,-0.10093117055901812,-0.1041065444828212,-0.13248803325680325,-0.07112630627384109,-0.13248803325680325,-0.1524427149760924,-0.15226287809755867,-0.12602356803529513,-0.12597382427550075,0.007669245246014977,-0.02194960145768665,0.006911931920177483,0.00705001542738994,0.0023725051014972932,-0.004843090766703292
"AW-v2 static (lower duration, diversified)",False,less long-treasury concentration; + REIT + corp,0.0730977229391625,0.7521915043104784,-0.347312617757921,-0.008261732422912282,-0.10802300177762758,-0.1629256104848944,-0.16762425054372776,-0.12560087300393985,-0.16762425054372776,-0.2841323475117231,-0.2764868237800213,-0.1593408505210141,-0.15787881719990016,-0.011751865488726088,-0.0332173388490582,0.008120333512788432,0.00882869360322554,0.0006469201055452555,-0.00858319743492077
AW-classic + TSMOM,True,classic weights + 12m momentum exit-to-cash per sleeve,0.05753264465093744,0.9547846184455135,-0.12602356803529513,0.03110575533217541,-0.0621911177775204,-0.04396617094459088,-0.05096301699725192,-0.03611853646579488,-0.05096301699725192,-0.022146370433022144,-0.0214165284226141,-0.12602356803529513,-0.12597382427550075,0.0399106992076006,-0.005555406286163689,0.0068422899538086125,0.006205691824823647,-0.0005027785744051001,-0.004036690851998577
AW-v2 static + TSMOM,True,diversified weights + TSMOM,0.06333246346637766,0.9670534057275657,-0.139312744135061,0.07246637094217778,-0.04315286260035178,-0.07068993525478029,-0.05730201541947644,-0.06652536250919217,-0.05730201541947644,-0.02196306452468677,-0.019690705077630266,-0.139312744135061,-0.1378158789098236,0.009020841738696106,-0.017734071569640575,0.007629378997187122,0.007146869462722998,-0.001087898101528187,-0.005867991682693226
"ERC risk-parity (vintage, 20% cap)",False,"ERC over vintage set, 20% cap, no overlay",0.07371068466557307,0.7129461469601788,-0.3520746565092665,0.046662020769947965,-0.09935469195470004,-0.18632449754391145,-0.18528087916555513,-0.14034639314612252,-0.18528087916555513,-0.28821965447355835,-0.27577308218619456,-0.15901712139640323,-0.1589723071493191,-0.029792395895975488,-0.05137029386818559,0.0075092571137161815,0.008894093500288537,0.002566550822454922,-0.00863702415825078
ERC risk-parity + TSMOM,True,ERC (20% cap) + 12m momentum exit-to-cash,0.0659643240129193,0.945338267403304,-0.13533296881651113,0.12349969966699792,-0.051380358200019294,-0.06465720783677276,-0.053321974286714924,-0.06186181043710903,-0.053321974286714924,-0.03842083956147491,-0.028935900536217307,-0.13533296881651125,-0.13528689248967185,-0.00174723777023289,-0.023137105247507006,0.007087968861587028,0.007657974603110508,0.0003132352021421212,-0.005560533775848397
AW-v2 + long/short TSMOM (managed-futures overlay),True,long winners / SHORT losers (12m sign); $1 gross,0.04898821291983535,0.6010406183087853,-0.24220518932207968,0.1484048205629367,-0.05131469249292819,0.021515862505701255,-0.039653970163854746,-0.017516116024213324,-0.08437330043086066,0.2799559836185279,-0.07578013692502439,-0.11928463774910802,-0.11775294061974728,0.029406201731427606,-0.024644716592412186,0.007138424481585813,0.005465045322220457,-0.0028227163086016315,-0.0031527859304656828
ERC + long/short TSMOM,True,ERC weights + long/short 12m sign overlay,0.052775058951819664,0.603100495677683,-0.24356130415631794,0.19502166808204002,-0.04586070293316724,0.06293758166054375,-0.03918455962052281,0.0063516918009289824,-0.09123993032945377,0.23552551202347072,-0.09337529030323377,-0.11164881623661937,-0.11160147783002461,0.025593610617967277,-0.027269256992997093,0.006666680609457871,0.006421855705932483,-0.0019400804181706794,-0.0024840433934460136
AW-v2 modern static,False,TIPS+commodities+currency inflation budget,0.0568138330447272,0.7018626210124598,-0.27887641215753756,0.0,0.0,-0.09166219776103746,-0.1202933347112618,-0.06797032118937718,-0.1202933347112618,-0.2563612455256655,-0.24745631366841558,-0.1331244049968815,-0.1288818339915183,-0.015964468090231998,-0.03886483655369499,0.006394253364260061,0.00886214937829825,-0.0031801738458863285,-0.007314330003975238
AW-v2 modern +TSMOM,True,TIPS+commodities+currency inflation budget,0.03424451999025013,0.573812960262782,-0.2436468482304407,0.0,0.0,-0.03076070035018108,-0.04333010496239442,-0.03278890640433341,-0.04333010496239442,-0.17969454255451023,-0.21069176130524503,-0.08374627011093283,-0.07926203785155161,0.0016595968382349113,-0.014069520396800539,0.005372919924939497,0.00642743138016432,-0.008120733880411634,-0.005104423797996923
