candidate,worst_start,lump_multiple,both_multiple,lump_worst,both_worst
Current allocation,1999-03,10.965016314865828,6.079492312297239,-16.212590916188375,-18.39559019491951
80/20 VTI-GLD,1999-03,12.018194209683372,6.93218501241232,-21.23465769861337,-22.139986439811345
60/20/20 US-intl-gold,1999-03,10.554263341297158,6.013805423335678,-19.486560194294732,-20.783038817559827
100% US Total,1999-03,10.241857211371018,6.597921122362037,-29.76400022052449,-30.6209125281273
S&P 500,1999-03,9.703332385819863,6.5344948491169,-30.780974579081832,-31.66851459670236
Classic 60/40,1999-03,6.7105252926076195,4.036784408294723,-8.041743422036518,-10.797227370093744
70/15/15 eq-gold-dur,1999-03,10.351062474869572,5.833591870821614,-13.898129876956133,-15.449497897328602
60/20/20 eq-gold-dur,1999-03,10.16457605534876,5.5362954488062845,-8.354399430136706,-10.09691463779767
50/25/25 eq-gold-dur,1999-05,9.48131380334805,5.146675680130509,-6.658196221836798,-6.9391251026535645
60/20/20 eq-gold-agg,1999-03,9.61418225357039,5.392854636789523,-10.24580709066456,-12.026387538393168
45/15/20/20 +intl,1999-03,9.248526989368523,4.991352594594127,-6.911890824918487,-8.97678537825416
