book,cagr,maxdd,sortino,best_sortino_at_same_dd,sortino_gap,best_cagr_at_same_dd,cagr_gap,percentile
50/25/25 eq-gold-dur,8.737528,-22.253967,1.4872566309403612,1.8406350434535206,0.3533784125131594,9.880161,1.1426334,98.8554753749615
50/25/25 +10% SV,8.776259,-21.946358,1.4805594097778807,1.8406350434535206,0.3600756336756399,9.859407,1.083148,98.75981012761753
50/25/25 +20% SV,8.812571,-21.887964,1.4702084795502892,1.8406350434535206,0.37042656390323137,9.859407,1.0468369,98.5969875962319
50/25/25 +30% SV,8.846485,-22.082542,1.4567400384768585,1.8406350434535206,0.38389500497666207,9.859407,1.0129223,98.353127674082
60/20/20 eq-gold-dur,8.900154,-28.398783,1.3835623938855586,1.8406350434535206,0.457072649567962,10.413229,1.5130749,96.44318760155961
60/20/20 +10% SV,8.944738,-28.543686,1.3746048402806625,1.8406350434535206,0.46603020317285804,10.413229,1.4684906,96.12441249060055
60/20/20 +20% SV,8.985829,-28.692055,1.361741376875379,1.8406350434535206,0.4788936665781416,10.413229,1.4273996,95.64557217585394
60/20/20 +30% SV,9.0234995,-28.843767,1.3456399060767057,1.8406350434535206,0.4949951373768149,10.413229,1.3897295,94.9819441776691
60/20/20 eq-gold-agg,8.676851,-30.35559,1.3387625657013618,1.8406350434535206,0.5018724777521588,10.422218,1.745367,94.67975976666466
45/15/20/20 +intl,8.4166765,-29.838497,1.2985667435339021,1.8406350434535206,0.5420682999196185,10.422218,2.0055418,92.69023106872616
70/15/15 eq-gold-dur,9.0225935,-34.684097,1.2655088500577432,1.8406350434535206,0.5751261933957774,10.422218,1.3996248,90.73865067603597
80/20 VTI-GLD,9.668409,-40.556973,1.1832635912781868,1.8406350434535206,0.6573714521753338,10.422218,0.753809,84.44418584761885
Classic 60/40,7.276571,-32.228703,1.176281796931073,1.8406350434535206,0.6643532465224475,10.422218,3.1456475,83.78677352012124
80/20 VTI-GLD +7% SV,9.715104,-40.707405,1.176146647965238,1.8406350434535206,0.6644883954882825,10.422218,0.7071142,83.77364116325576
60/20/20 US-intl-gold,9.0276,-42.143093,1.105162684412669,1.8406350434535206,0.7354723590408516,10.422218,1.394618,75.57503132370886
Current allocation,9.079218,-43.21134,1.0814947873425902,1.8406350434535206,0.7591402561109304,10.422218,1.3430004,72.16449749106556
S&P 500,8.92365,-50.784798,0.9561379210384835,1.8406350434535206,0.8844971224150371,10.422218,1.4985685,46.64421547720695
100% US Total,9.145427,-50.843304,0.9550658831183078,1.8406350434535206,0.8855691603352128,10.422218,1.2767916,46.37460491935284
