combo,n_sleeves,w_US Equity,w_US Treasuries,ann_return,ann_vol,sharpe,sortino,max_drawdown,ulcer,calmar,n_both_down,both_down_avg_monthly,both_down_annualized,both_down_worst_monthly,both_down_hit_rate,both_down_maxdd,crisis_avg_ret,crisis_GFC 2008-09_ret,crisis_GFC 2008-09_maxdd,crisis_COVID 2020-02_ret,crisis_COVID 2020-02_maxdd,crisis_Stocks+Bonds rout 2022_ret,crisis_Stocks+Bonds rout 2022_maxdd,crisis_Q4 2018_ret,crisis_Q4 2018_maxdd,crisis_Taper tantrum 2013_ret,crisis_Taper tantrum 2013_maxdd,crisis_Bond rout 2021_ret,crisis_Bond rout 2021_maxdd,crisis_SVB / bank stress 2023_ret,crisis_SVB / bank stress 2023_maxdd,w_Gold,w_Silver,w_Commodities,w_Currency,w_US Corporate Bonds,w_US Municipal Bonds,w_EM Bonds,w_International Equity,w_US REIT,w_Preferred Stock,resilience_score,rank
"US Equity,Preferred Stock,US Treasuries,Gold,Silver,Currency",6,0.07258953350417484,0.4261067089587765,0.04456968292355955,0.04262331351570873,1.0456644321454147,0.8563948573005802,-0.2082064616366449,0.04446126967063796,0.21406484012653312,53,-0.0001913042368897198,-0.0022956508426766374,-0.06960990296443402,0.6226415094339622,-0.14433138567844117,-0.009408575118907914,-0.10870175811729865,-0.12988303835457315,-0.0476889907825323,-0.05464749752990494,0.04678066999293917,-0.011255938277875743,-0.006043846613478343,-0.006768629034061391,0.00575771545634618,-0.006246590831902155,0.02790015145103708,0.0,0.01613603278063147,0.0,0.07747788807541744,0.03715733359853222,,0.295306637437538,,,,,,0.09136189842556094,82.21145107543168,1
"US Equity,US Treasuries,Gold,Silver,Currency",5,0.09810709274185216,0.470653024132049,0.04695167331859801,0.04207164336093608,1.1159933287082644,0.8600829600424158,-0.190245362761575,0.037208315399228066,0.24679536277286399,53,0.0013000762211437648,0.015600914653725179,-0.09219053338694193,0.6792452830188679,-0.1188830126116498,-0.001876674205702192,-0.09633924834235774,-0.11800710644388135,-0.04091016781568213,-0.04703441223938076,0.0562840486125189,-0.013580792291947752,0.0026879397365298097,-0.005397677743701257,0.014714223764489054,-0.004937369229157884,0.029924846036215147,0.0,0.020501638568371616,0.0,0.08469326829956453,0.042648459838584694,,0.30389815498794953,,,,,,,81.6601029990912,2
"US Equity,International Equity,US Treasuries,Gold,Silver,Currency",6,0.06136736823478648,0.412465637034587,0.04167955491704739,0.045114714867129514,0.9238572168703879,0.6623789840672692,-0.2274928646030996,0.05322819917906884,0.183212581149587,53,-0.0006381883628096954,-0.0076582603537163445,-0.11417898546741592,0.6415094339622641,-0.16828470477734547,-0.010989855964671122,-0.13951640310998847,-0.15467369536395092,-0.04503212637681131,-0.049063419080154325,0.05050123497641068,-0.012382195712682176,-0.0008906259411035622,-0.007872343259870296,0.009245827016206354,-0.006767972285654955,0.02869294641653486,0.0,0.020070155266053602,0.0,0.07711939258528924,0.03631474576570986,,0.33718109898138404,,,,0.07555175739824337,,,81.31475310511966,3
"International Equity,US Treasuries,Gold,Silver,Currency",5,,0.4401030344870322,0.04032802139524881,0.04428356935426506,0.910676848847206,0.670663341634181,-0.22265032051052303,0.04673234105273685,0.18112716524628944,53,0.0005225046384182367,0.00627005566101884,-0.10066360166670073,0.6415094339622641,-0.13588921779737884,-0.006445572140957851,-0.11081461451030306,-0.13317449990003416,-0.04144506189379804,-0.04489832873939659,0.0489201061161999,-0.01240716212418369,0.006094448576001055,-0.0051379897009539155,0.00472160594576998,-0.00809409119641269,0.02701772043519135,0.0,0.02038679034423385,0.0,0.077402552125422,0.03890408407048783,,0.3381628989093259,,,,0.10542743040773205,,,81.27234171463193,4
"International Equity,Preferred Stock,US Treasuries,Gold,Silver,Currency",6,,0.4084764368643927,0.039738925689975474,0.044586256496398406,0.8912819512709148,0.6776508774151555,-0.2347311787468156,0.05293985764583957,0.1692954719613045,53,-0.0007227286542687197,-0.008672743851224636,-0.07667079319756635,0.660377358490566,-0.15818868067984393,-0.012477459389671597,-0.1202110446309993,-0.14242009450669635,-0.04856620742315887,-0.05330815724135629,0.0417429330821506,-0.010507229450110067,-0.002239437525762611,-0.006269764194707594,-0.00011975225699167868,-0.008298692323517431,0.025746097686354608,0.0,0.01630519534070607,0.0,0.07250643129696172,0.03475004684549586,,0.32153507566547423,,,,0.08008403711534784,,0.08264797221232767,81.10875492275069,5
"Preferred Stock,US Treasuries,Gold,Silver,Currency",5,,0.4813226988089402,0.04247582943663764,0.043118202790228335,0.9851020378396599,0.9323193278235304,-0.20000264366090714,0.0378531674381159,0.21237633992805086,53,0.0013735563439719323,0.016482676127663187,-0.059031863823618434,0.6415094339622641,-0.10677707408231718,-0.004086759613625225,-0.0718230527053828,-0.1034274016720288,-0.040649000928826506,-0.049226959766419776,0.04387625311144694,-0.01096986507279285,0.0020121222431348507,-0.0034164774267404496,-0.0020266609828984983,-0.009935689366037281,0.025107827666442928,0.0,0.014895194300706516,0.0,0.07891169025870312,0.041799311311195214,,0.27388098715722614,,,,,,0.12408531246393528,81.09057861254166,6
"US Equity,Preferred Stock,US Treasuries,Gold,Silver,Commodities,Currency",7,0.05900298013887292,0.39690857864258,0.03970948926786447,0.04724420251909809,0.8405156008678996,0.6114549922528613,-0.2409619840772005,0.0667866759470332,0.16479566027785594,53,3.7648389427080084e-05,0.000451780673124961,-0.10112170456064903,0.7169811320754716,-0.16696208106261012,-0.019933754298767235,-0.1851454610596024,-0.1810865946533432,-0.056325972755736586,-0.0598447982803445,0.06620218331679006,-0.009838622478790082,-0.01256881422772027,-0.011882276897273725,0.005170786363134949,-0.005559579152687677,0.02969282773946902,0.0,0.013438170532294569,0.0,0.07350553344222645,0.03181654510301513,0.047951548328127654,0.3080280593878221,,,,,,0.08278675495735584,80.86640411996365,7
"US Equity,US Treasuries,US Corporate Bonds,Gold,Silver,Currency",6,0.07159355097440874,0.39102924030678904,0.044475824562862185,0.03977265658512266,1.118251290749806,0.8468096196611115,-0.18314896545035197,0.03351137817543235,0.2428396166666783,53,-9.51970704184584e-05,-0.0011423648450215008,-0.09077491524114355,0.6226415094339622,-0.12357471797084096,-0.007122787034675758,-0.08872428018078282,-0.12129331191708692,-0.039271494882261004,-0.04674834692158225,0.03240009336185823,-0.010802822379738841,0.0011941457619086826,-0.006195513508097772,0.002450169504820021,-0.0102866862434704,0.023352737219162423,0.0,0.018739119972564167,0.0,0.06869376871280021,0.03543770953251533,,0.28619061012376407,0.14705512034972254,,,,,,80.86034534989398,8
"US Equity,US Treasuries,Silver,Currency",4,0.10726329539870513,0.5134198786029963,0.043434093383812,0.03969417075099801,1.0942184346481143,0.8878228099279614,-0.17672404470778158,0.041110817211339315,0.2457735361118039,53,0.0011846026485021728,0.014215231782026074,-0.07474945501868646,0.7169811320754716,-0.12815656977913514,-0.0023827880453077188,-0.11802897441552729,-0.11946958617976733,-0.05189326023971075,-0.05505180586283909,0.06714741150071446,-0.012374110860242205,0.0001604469867195757,-0.0073504523144656275,0.021499976112923536,0.0,0.04514024882578904,0.0,0.01929463491193739,0.0,,0.06806435911013742,,0.31125246688816127,,,,,,,80.79975764919722,9
"US Equity,US Corporate Bonds,Gold,Silver,Currency",5,0.125573672098499,,0.051867442895898605,0.05295083104275838,0.9795397328894626,0.9412883465468028,-0.220859545242586,0.044076950663293514,0.2348435646687982,53,-0.0011363852693438297,-0.013636623232125958,-0.10693612784841475,0.5849056603773585,-0.16856419130950862,-0.016047880048691603,-0.11389248452206502,-0.14330680465159984,-0.03811955010749579,-0.05252153232689072,0.04950458784634071,-0.012404941353264642,-0.016321910086389946,-0.015588155252447389,-0.02349381649615867,-0.027869524873717966,0.006318134372602646,-0.004332897922325607,0.02366987865232484,0.0,0.10169131322967852,0.05487372597757397,,0.46457636675937397,0.2532849219348744,,,,,,80.78764010905786,10
"US Equity,Preferred Stock,US Treasuries,Gold,Commodities,Currency",6,0.06209649686859587,0.40608004509881923,0.03841350229111312,0.04093772235539232,0.9383399974633247,0.7068504632900883,-0.2127554291861805,0.05827810354371235,0.1805523950107886,53,-4.4362650885873986e-05,-0.0005323518106304878,-0.08604845300445808,0.6981132075471698,-0.15161158372946215,-0.01726392827947373,-0.1642721471063352,-0.17335749178838977,-0.05060351822251952,-0.05468769069803403,0.061225977873459625,-0.008468885411205052,-0.014443794901858875,-0.012971045214928756,0.006378491581970236,-0.005203138768153703,0.029494449432607484,0.0,0.011373043386360138,0.0,0.09565575195314384,,0.05383790023987972,0.2944689999436985,,,,,,0.0878608058958628,80.69675855801273,11
"US Equity,Preferred Stock,US Treasuries,Silver,Currency",5,0.07791049089586818,0.4580934483078977,0.040996075085391076,0.0429404879379619,0.9547184266890488,0.7917448396432246,-0.21508059988311212,0.05046029004450861,0.1906079632829313,53,-0.0006329087726688708,-0.007594905272026449,-0.08612114347587663,0.6415094339622641,-0.15778077324192197,-0.011677512164293262,-0.1280597140447901,-0.1480955846605403,-0.058565638578641055,-0.06298832757383499,0.050552579439720136,-0.008912780495677897,-0.010771189839615225,-0.008878373626827973,0.01057547323424779,-0.0036039473662596855,0.04155128716219547,0.0,0.012974617476830153,0.0,,0.05840720973041435,,0.2981718012727937,,,,,,0.10741704979302605,80.6058770069676,12
"Preferred Stock,US Treasuries,US Corporate Bonds,Gold,Silver,Currency",6,,0.40586666067344,0.04130198335268503,0.040728324141160566,1.0140850188074573,0.908583039695959,-0.1912788805383866,0.034151209824714576,0.21592547612383367,53,7.713819909060876e-05,0.0009256583890873051,-0.05905990499107203,0.6037735849056604,-0.11352980960665493,-0.007734018124307581,-0.0677652647685354,-0.10918070036449568,-0.038145499615478196,-0.04783144461534872,0.022407213788702363,-0.00879918751288089,0.0017494680447891486,-0.003911169861664621,-0.006906805546550876,-0.011393018960471624,0.019132488658015756,0.0,0.015390272568904129,0.0,0.06573770029464159,0.035349775590719286,,0.2653891417947257,0.1404997357509091,,,,,0.08715698589556427,80.49681914571343,13
"US Equity,US Treasuries,Gold,Commodities,Currency",5,0.08313836376173843,0.4485857409438461,0.03917600425969815,0.04085185897827062,0.958977271524807,0.7036426981639211,-0.19890909004337876,0.05908874793441097,0.1969543184333834,53,0.0014159581488836848,0.016991497786604217,-0.1119167934349708,0.7169811320754716,-0.1390102968249396,-0.01146105372490458,-0.16282953575297654,-0.1639540252404792,-0.04550621252780218,-0.04844782848196327,0.07201663058941121,-0.01040045783542598,-0.0050682590221700075,-0.006673426924596604,0.014463088451232453,-0.0037475905599924086,0.03126895786868156,0.0,0.015427954319291448,0.0,0.10481739162653853,,0.061262095146255524,0.3021964085216215,,,,,,,80.47258406543472,14
"US Equity,US Treasuries,EM Bonds,Gold,Silver,Currency",6,0.07024224127869867,0.41520445788711374,0.04507881871445779,0.044205380137538636,1.0197586487029764,0.7427742547581638,-0.1984393744715518,0.032382078272216196,0.22716670436249675,53,-0.0006861512768377071,-0.008233815322052486,-0.1091482710351666,0.6226415094339622,-0.14441668143851338,-0.005764628752137647,-0.08053077856736734,-0.14086886436506296,-0.04696601262879796,-0.053369792939440885,0.04280722971697992,-0.012253164166496577,0.003899781982273476,-0.006573029958021559,-0.003783595459245892,-0.01077972878133493,0.02429075488450816,0.0,0.019930218806686106,0.0,0.06918087842966957,0.03629010196575116,,0.3055541759296006,,,0.10352814450916611,,,,80.36352620418056,15
"US Equity,US REIT,US Treasuries,Gold,Silver,Currency",6,0.07258415384134387,0.444648307462887,0.04518289188205017,0.04732429930443702,0.9547503617832525,0.7067959044848379,-0.21523750161953425,0.04649677695459525,0.20992109433567926,53,-0.0009162394569044149,-0.010994873482852979,-0.12911588483076422,0.6226415094339622,-0.16676516854770174,-0.011691020670044476,-0.14336800381514625,-0.16645594596431357,-0.04636042138955543,-0.05294392173821161,0.05211383757411436,-0.01508606778214494,0.0002694315280407089,-0.005756100216543936,0.007735672878073974,-0.0048330418592008595,0.030867532499570638,0.0,0.016904806034590658,0.0,0.0798796047285233,0.04034035603537025,,0.31071545213186397,,,,,0.05183212580001151,,80.26052711299607,16
