combo,n_sleeves,w_US Equity,w_US Treasuries,ann_return,ann_vol,sharpe,sortino,max_drawdown,ulcer,calmar,n_both_down,both_down_avg_monthly,both_down_annualized,both_down_worst_monthly,both_down_hit_rate,both_down_maxdd,crisis_avg_ret,crisis_COVID 2020-02_ret,crisis_COVID 2020-02_maxdd,crisis_Stocks+Bonds rout 2022_ret,crisis_Stocks+Bonds rout 2022_maxdd,crisis_Q4 2018_ret,crisis_Q4 2018_maxdd,crisis_Bond rout 2021_ret,crisis_Bond rout 2021_maxdd,crisis_SVB / bank stress 2023_ret,crisis_SVB / bank stress 2023_maxdd,w_Gold,w_Silver,w_Commodities,w_Currency,w_Volatility,w_Digital Assets,w_US Corporate Bonds,w_US Municipal Bonds,w_EM Bonds,w_International Bonds,w_International Equity,w_US REIT,w_Preferred Stock,resilience_score,rank
"US Equity,EM Bonds,Volatility,Digital Assets",4,0.37095011988940946,,0.1823089541840377,0.15971236554264753,1.1414830252160797,1.8766110993896943,-0.17480771941546847,0.0504695490444509,1.0429113473572693,33,0.0125253491378136,0.15030418965376321,-0.11514599355345483,0.5151515151515151,-0.28364057605326964,-0.03967463894823871,-0.034377424635762543,-0.11514599355345478,-0.15864586934372027,-0.15112379067902015,-0.027974747213632023,-0.0304216400579147,0.03629161357728372,-0.015162956880291012,-0.013666767125362411,-0.017402747272178054,,,,,0.1259591461633819,0.08037705348213753,,,0.422713680465071,,,,,92.5898737995877,1
"US Equity,EM Bonds,Gold,Volatility,Digital Assets",5,0.3223187054821591,,0.17522331185944023,0.13889577025868025,1.2615453410359678,2.229530717282622,-0.1391771323775426,0.03496251887020461,1.258994986217391,33,0.008480052618984865,0.10176063142781838,-0.0958847638358285,0.45454545454545453,-0.2818266606443256,-0.03554139849102922,-0.0195216638963005,-0.09588476383582845,-0.13033128418010398,-0.13917713237754248,-0.024508745154509404,-0.024204989785159725,0.00026909051605028544,-0.028529220078729267,-0.0036143897402824976,-0.013746592695029869,0.20723584145532858,,,,0.10250262870691562,0.06393582280119033,,,0.30400700155440635,,,,,91.89803408919504,2
"US Equity,EM Bonds,Commodities,Volatility,Digital Assets",5,0.29105683329017457,,0.16682710349558713,0.1415304479560497,1.1787364903090884,1.6983588155799092,-0.1336222216776356,0.038673919108931004,1.2484982018788648,33,0.012004390766253006,0.14405268919503605,-0.13362222167763577,0.6060606060606061,-0.2368607189626578,-0.03406550284845555,-0.07252957046090835,-0.1336222216776357,-0.07535759316144097,-0.1232309340401363,-0.04592187881129128,-0.05205776272251106,0.057232744078751674,-0.020645796449866416,-0.03375121588738883,-0.029303192364328434,,,0.17782722366151896,,0.10852204340526832,0.0670449699530011,,,0.35554892969003715,,,,,91.59635979687265,3
"US Equity,International Equity,US Corporate Bonds,Volatility,Digital Assets",5,0.22356063066548393,,0.15070529112051653,0.12479395746322305,1.2076329189650836,2.0589470996753776,-0.16091975340155806,0.04193379720225998,0.9365244970544266,33,0.007989885629819723,0.09587862755783667,-0.07560348653511116,0.42424242424242425,-0.24900277822087824,-0.034999411084807155,-0.002208941014327226,-0.07560348653511118,-0.15106993914334355,-0.1430076831422411,-0.030481071703616802,-0.024811171072489424,0.02500736383144253,-0.015855086932480944,-0.01624446739419072,-0.016454004468007044,,,,,0.10277171222345827,0.061158917836143384,0.41518053995530607,,,,0.1973281993196084,,,91.53099703353614,4
"US Equity,International Equity,EM Bonds,Volatility,Digital Assets",5,0.2708352627260982,,0.16936043489336802,0.13543229973091997,1.2505173081300196,1.9862245397008294,-0.178412334557829,0.046381297070896166,0.9492641599758509,33,0.006451004097490649,0.07741204916988778,-0.11372265141122,0.45454545454545453,-0.2930065820897312,-0.04342995877348743,-0.036758437085825935,-0.11372265141121995,-0.16634049522321104,-0.15996290817510894,-0.031047283484711863,-0.03267283764938389,0.03704626727952309,-0.01631094739045602,-0.020049845353211415,-0.01940729477904568,,,,,0.1175612957162845,0.06687896936851487,,,0.3179998976582524,,0.22672457453084996,,,91.46965659409723,5
"US Equity,EM Bonds,Gold,Commodities,Volatility,Digital Assets",6,0.2565552415877162,,0.1627934153508077,0.1266612058411012,1.2852665839533772,1.8960576916110248,-0.12320923982667953,0.03364079947307477,1.3212760307572053,33,0.008804818720966527,0.10565782465159831,-0.11430086772509133,0.5757575757575758,-0.23890435891674933,-0.032237070173474394,-0.056492195893307784,-0.11430086772509129,-0.061543644690910004,-0.12320923982667975,-0.04007316033122266,-0.043437357663930753,0.017198444972436278,-0.01902710912551875,-0.02027479492436779,-0.023326859922533916,0.1857162393160056,,0.15213559103240099,,0.0903586755150303,0.054829383707546864,,,0.26040486884130004,,,,,91.34697571521949,6
"US Equity,US Corporate Bonds,Gold,Volatility,Digital Assets",5,0.27344435166604747,,0.1581072627723677,0.13092539208681295,1.2076134373348386,2.267937950746081,-0.12987054378099006,0.03322467571016246,1.2174220432848517,33,0.009790151374556615,0.11748181649467938,-0.07181303780439666,0.45454545454545453,-0.24183946167966652,-0.027745253590718843,0.01125358651854702,-0.06336775005176287,-0.12192721512238658,-0.12798449668347367,-0.024857699768360275,-0.018179178085810155,-0.0009087580397642014,-0.023905164539909318,-0.0022861815416301834,-0.011822161823197397,0.18117407954191758,,,,0.09134356928831423,0.059262895652674036,0.3947751038510467,,,,,,,91.02418422243451,7
"US Equity,US Corporate Bonds,Gold,Commodities,Volatility,Digital Assets",6,0.2164120628926913,,0.14708836590155822,0.11798388828468648,1.2466817973200268,1.933010193001666,-0.10806968678396123,0.029177085294205308,1.361051098404662,33,0.009710862851292166,0.11653035421550599,-0.08093296831531384,0.5757575757575758,-0.20435398725332243,-0.026092243160721118,-0.0224380619873088,-0.08093296831531382,-0.06524556821441496,-0.10806968678396134,-0.0372629643044885,-0.033915349491191016,0.012449514579565113,-0.018136783012926205,-0.017964135876958442,-0.020806560795953333,0.1618316078450943,,0.137500516618005,,0.08060352880965875,0.050738585329257145,0.3529136985052936,,,,,,,89.91402282668813,8
"US Equity,EM Bonds,Silver,Volatility,Digital Assets",5,0.3426663987856468,,0.18066549911068738,0.14479059436720068,1.2477709612304306,2.1627074144469858,-0.1647883702409748,0.04472938102553818,1.0963486006111656,33,0.005691736428637439,0.06830083714364926,-0.1181695552393687,0.42424242424242425,-0.3033144259502025,-0.04221067863715211,-0.050687523239331234,-0.11816955523936867,-0.15125228404848134,-0.15103549351038026,-0.022222011336459513,-0.02345755283488693,0.024322473050629956,-0.02596358679264066,-0.011214047612118416,-0.018057869200333476,,0.13803125005614394,,,0.11493463979926699,0.0684532914439526,,,0.3359144199149897,,,,,89.75111870883403,9
"US Equity,International Equity,EM Bonds,Commodities,Volatility,Digital Assets",6,0.22338064188881523,,0.15780323473907967,0.12543742441725655,1.258023556145103,1.7309702473677324,-0.1331596088148307,0.03665140041441211,1.185068326225845,33,0.0069677631746649345,0.08361315809597922,-0.12930163987373489,0.5454545454545454,-0.25901571145422875,-0.03993628422127142,-0.06845856470794176,-0.12930163987373489,-0.10204701031024255,-0.1331596088148307,-0.046857597347799484,-0.05177352677954283,0.05275661484657279,-0.020291102623450796,-0.035074863586946115,-0.028446776229611004,,,0.15013452332892052,,0.10399511777833725,0.057654500789314854,,,0.27872079070428735,,0.18611442551032478,,,89.47558952184626,10
