fold,train,test,combo,scheme,train_score,test_sharpe,test_stag_sharpe,test_both_down_ann,test_maxdd,weights
1,1980-02-29..1989-12-31,1990-02-28..1993-12-31,"US Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",EW,70.83333333333334,1.1763741619629373,-0.3866236922954832,-0.22564038853306406,-0.08133116615557212,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'Gold/Precious Metals': 0.25}"
2,1980-02-29..1993-12-31,1994-02-28..1997-12-31,"US Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",EW,69.16666666666667,0.5369099425932188,,-0.25260480646425704,-0.08084703480665789,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'Gold/Precious Metals': 0.25}"
3,1980-02-29..1997-12-31,1998-02-28..2001-12-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVar,68.16666666666666,0.47370730667297667,,-0.2727116162954138,-0.19298342364837295,"{'US Equity': 0.19999999999999996, 'US Corporate Bonds': 0.20000000000078033, 'US Municipal Bonds': 0.20000000000078033, 'Gold/Precious Metals': 0.19999999999765886, 'World Equity': 0.20000000000078033}"
4,1980-02-29..2001-12-31,2002-02-28..2005-12-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds",EW,65.0,1.2823486436037779,,-0.23238734734194644,-0.10181766651862278,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'World Equity': 0.25}"
5,1980-02-29..2005-12-31,2006-02-28..2009-12-31,"US Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",EW,64.16666666666667,0.4887880914656323,,-0.48182747459018926,-0.280316095356555,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'Gold/Precious Metals': 0.25}"
6,1980-02-29..2009-12-31,2010-02-28..2013-12-31,"US Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",EW,64.16666666666667,0.45386882353958835,,-0.2502209648231372,-0.13726026646149114,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'Gold/Precious Metals': 0.25}"
7,1980-02-29..2013-12-31,2014-02-28..2017-12-31,"US Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",EW,64.16666666666667,0.6043893701639934,,-0.2866850125434413,-0.12662769839904342,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'Gold/Precious Metals': 0.25}"
8,1980-02-29..2017-12-31,2018-02-28..2021-12-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds",EW,65.0,0.8229342850390277,,-0.30063294278324004,-0.13016753796654446,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'World Equity': 0.25}"
9,1980-02-29..2021-12-31,2022-02-28..2025-12-31,"US Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",EW,66.66666666666667,0.9268461127595988,-0.4764733067091697,-0.29993878606962143,-0.19334637634390084,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'Gold/Precious Metals': 0.25}"
10,1980-02-29..2025-12-31,2026-02-28..2026-07-31,"US Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",EW,64.16666666666667,-0.24711205973698963,,-0.8978800151641672,-0.09108933358666493,"{'US Equity': 0.25, 'US Corporate Bonds': 0.25, 'US Municipal Bonds': 0.25, 'Gold/Precious Metals': 0.25}"
