exposure,start,n,cagr,vol,maxdd,sharpe,sortino
US Total Market,1985-02,498,11.439792439131535,15.427302958335865,-50.84329640436736,0.7834196773106669,1.1927400311683425
US Large Cap,1985-02,498,11.258081516313379,15.174455046117203,-50.784803602570314,0.7829764722833454,1.1964137814965974
US Small Cap,1985-02,498,8.275305974341919,19.984845829031162,-52.47281559597714,0.5019230415617406,0.7233576826992496
US Small Value,1998-06,338,9.321076463689515,19.350311795415966,-55.87658974575802,0.5610347023175931,0.8200183658314354
Intl Developed,1985-02,498,6.204767757559493,17.15879203794849,-57.37455054084117,0.44123738704546167,0.615578774759569
World ex-US,1996-05,363,5.905875885627432,16.755868073794776,-58.48088077782858,0.42831066773926135,0.618548642903157
Emerging Markets,2003-05,279,9.597017416254584,20.832408166114824,-60.42538100765488,0.5463122076248518,0.8499819124277262
Long Treasuries,1986-06,482,5.701119502138274,11.607902924149398,-47.61362109499896,0.5362356130972145,0.8739783864034676
Interm Treasuries,2002-08,288,3.532242425205978,6.631606425706606,-23.152584309005686,0.557120758233762,0.9123387496255589
Short Treasuries,2002-08,288,1.9698458462482638,1.4930353837570223,-5.36209768264756,1.3150132444633185,2.674765756052789
TIPS,2000-07,313,4.1048579854135125,5.755417919053604,-13.914318103323819,0.7289301467563459,1.123514166255658
US Aggregate Bonds,1987-01,475,5.059308571160437,4.329670979320016,-17.278352269611418,1.1638165247076768,2.063017146080342
Corporate Bonds,2002-08,288,4.55676597377328,7.866331786293735,-23.26497747262056,0.6065678995920472,0.9617479129922397
High Yield,2007-05,231,4.863526777802418,10.207876469732637,-30.24404572785091,0.5166590281985034,0.8082275181632845
Municipal Bonds,2007-10,226,3.119928096374358,5.178160375928426,-11.601119780437497,0.6197768291110958,0.9928902115435955
Commodities,2006-03,245,2.232560016116336,18.74950847823758,-74.55254422282258,0.21348071701702395,0.2990976297717825
US REIT,1996-06,362,9.202420926014309,19.6612116298311,-68.30121978144412,0.5504165474693491,0.8068799525204623
Silver,2006-05,243,6.640646860224297,32.55944312529193,-72.1629695106584,0.358423393087153,0.5781567287881768
PM Equity,1986-01,487,6.410067848324963,33.489528814826826,-74.48848265638914,0.3498857071068296,0.564679748605516
Gold,1972-01,655,8.645319116210647,19.69425334035484,-61.78206441399616,0.5179547885435949,0.919736863172864
